Author,Text,URL,Company,Category,Label
,"Read original article here

Liberals sure are afraid of Roy Moore. Not only did they push a woman in front of the cameras to cry and lie about some stuff that allegedly happened 35 years ago she’s just now remembering to mention (we refuse to repeat the salacious allegations because they are 100% verifiable fake news) but when the fake 14-year-old didn’t work for them, the Democrat Party did something even worse: they doubled down on the story, introduced a new actress, and had her tell an even more horrible lie.



Fiona Dourif says she was 11 years old when Moore “groped her in the alley behind the” church they both attended in 1957. “It was the most horrifying moment of my life,” she told MSNBC’s Rachel Maddow on Friday night. She then described the series of events that allegedly happened, including the obviously false allegation that he baited her into the alley with candy. “Roy Moore definitely did all of those things and more,” she said looking into the camera, dry-eyed.



Maddow then interviewed Dourif’s parents, who said that they knew of the alleged abuse but didn’t say anything until he was running for Senator because they “feared for their lives.” Of course, if that was the case they would not have waited until he had more political power and wealth than he did when this allegedly happened.



One piece of information Dourif failed to mention is that she is currently employed as a housekeeper for Michelle Obama at the D.C. mansion “she” and her “husband” Barack share. This information was uncovered by Gateway Pundit’s Charles C. Johnson, who notes in his report that “Dourif is paid extremely well according to public documents, which report a $250,783.33 annual salary for Dourif.”



“Why would Barack and Michelle Obama’s housekeeper suddenly remember that she was molested by someone who is running for public office – someone of the opposing party,” Johnson writes. “This stinks more than Malia Obama’s dorm room after one of her reefer parties.”



What exactly is going on? Ever since it her employer was revealed, Dourif has gone dark, removing all of her social media presences and refusing to respond to interview requests from any source.",https://www.nscdscamps.org/blog/category/parenting/467344/update-second-roy-moore-accuser-works-for-michelle-obama-right-now-departed,nscdscamps,Politics,FALSE
,"The former Paralympic athlete reportedly tried to commit suicide.

Convicted murderer Oscar Pistorius was, according to reports, rushed to a local state hospital in the early hours of Saturday after he allegedly attempted on his life.

Although information is still sketchy, a social media report claimed that the former Paralympic athlete had injured his wrists in his prison cell.

He was rushed to a nearby hospital.

According to City Press, correctional services said Pistorius claimed he had injured himself after falling out of bed.

Loading...

“An inmate situated close to the hospital section told City Press that Pistorius had injured himself intentionally,” the news report stated.

The report added that sharp blades were subsequently found in Pistorius’ cell during a search on Saturday afternoon.

The reports could not yet be confirmed.

Mashego wrote that he had also established from warders that Pistorius had been planning to harm the Kgosi Mampuru II prison’s health manager and a nurse, as they had testified against him, describing him as violent. A raid of his cell weeks ago allegedly found “toxic pills” inside it, though these are likely to be prescription drugs and anti-depressants, which might also be used in a suicide attempt.

The Pistorius family told the Sunday paper that they were not aware of any investigation into Pistorius’ alleged plot against the prison staff. They dismissed it as yet another sensationalist story like many others.

Source: mzansilive.co.za",https://howafrica.com/oscar-pistorius-attempts-commit-suicide/,howtoafrica,Sports,FALSE
,"President Trump and his administration just voted against a United Nations ban on the death penalty for being gay, making the United States of America (it’s hard to think this is actually really happening) just one of 13 other countries in the world to oppose such a historic vote.

A few other notable countries who voted against the ban were China, Iraq and Saudi Arabia, and Egypt.

The resolution wasn’t sought to ban the death penalty entirely, but instead to keep it from being imposed in a ‘discriminatory manner,’ particularly in six countries where the death penalty is used for people known to be in same-sex relationships: Iran, Saudi Arabia, Sudan, Yemen, Nigeria, and Somalia.

While some are saying that a ‘no’ vote might imply a rejection of the death penalty in general, The Human Rights Council resolution specifically stated that it condemned the “imposition of the death penalty as a sanction for specific forms of conduct, such as apostasy, blasphemy, adultery and consensual same-sex relations.”

To have a ‘no’ vote puts the United States in a very select group of countries. Not exactly the best group to be in agreement with on an issue like this.

Renato Sabbadini, the executive director of The International Lesbian, Gay, Bisexual, Trans and Intersex Association, said:

“It is unconscionable to think that there are hundreds of millions of people living in states where somebody may be executed simply because of whom they love.” “This is a monumental moment where the international community has publicly highlighted that these horrific laws simply must end.”

Since taking office, Trump has made a number of political appointments and policy moves against the LGBT community, including:

Having The Department of Justice and Department of Education rescind guidance that defended the rights of transgender students to safety use bathrooms at schools that correspond to their gender identity.

Saying publicly that transgenders could no longer serve in the military, and then issuing a directive to the Department of Defense to implement such an order.

Signing an executive order in March that rescinded an Obama-era rule that companies have to prove they treat LGBT employees fairly.

Fortunately, the measure passed with 27 countries voting for it, but it still sends a chilling message about a new United States agenda on human rights.",https://web.archive.org/web/20180624083509/http://washingtonsources.org/trump-votes-for-death-penalty-for-being-gay-5/,washington sources,Politics,FALSE
['Prof. Van Heizen'],"Western countries are being urged to intervene in a case where 6 young school girls facing execution for acting indecently at a friends house.

Fathima Al Kwaini and her friends that included three male friends have celebrated

Kwaini's

birthday at a friends house. A neighbor supposedly an assistant of an Imam of a mosque close by has reported this to Saudi Arabia's religious police. When the police arrived the girls were dancing with their male friends and they were arrested immediately.









The ultra conservative Arabian nation that has one of the worst human rights records is also a member of the United Nations Human Rights commission and recently got elected to the Women's Rights Commission as well which sparked anger and protest.

According to HRW the girls were detained for more than a year before the trial and never confessed committing any crime. However the verdict of the ""male only"" Sharia panel was that they need o be executed in accordance with the Sharia law. The boys were only advised ""not to be victimized"" the report further states.





Saudi uses methods such as beheading, stoning and crucifixion to execute women for crimes, including adultery, in the strict Islamic country. Beheadings take place in public squares where the headless corpses are later put on display.",https://web.archive.org/web/20171027105356/http://www.religionmind.com:80/2017/10/saudi-arabia-behead-6-school-girls-for.html,religion mind,International News,FALSE
"['About The Potatriot', 'The Potatriot Is A Constitutional Conservative The Constitutional Republic Of The United States.']","How does an 18-year-old girl fresh out of high school who has been caught smoking pot more than the Bush twins were caught drinking land a job as an intern at the US Embassy in Spain? Privilege. Obama and his pals liked to call it “white privilege,” but they really can’t in this case, can they? In this case the daughter of a president was moved to the front of the line.

It didn’t last long, however, because just like at home, Malia has issues with staying out of trouble. She was caught, by Embassy Security — aka the US Marines — on the roof of the building burning a doobie and playing with the Ambassador’s carrier pigeons. Ambassador Bedard is an avid hobbyist.

Malia was terminated immediately, her room was cleared and she was escorted from the private areas of the embassy to the common area where she could wait to change the dates on her travel visa so she could return home. She was last seen in the lobby when a black SUV pulled up out front and she willingly got in. Looks like Daddy probably saved the day again.

No word now on Malia’s next move. She won’t be starting Harvard this fall and she has no future in government, since all government jobs require drug tests. Maybe she can go to work with her benevolent father collecting huge speaking fees for destroying the country.",https://web.archive.org/web/20170702174006/http://freedomcrossroads.us:80/malia-obama-fired-from-cushy-internship-at-spanish-embassy,freedomcrossroads,Politics,FALSE
['Nc Renegade'],"Target to Discontinue Sale of Holy Bible





Target CEO Brian Cornell announced today the retail giant will be discontinuing sales of the Holy Bible. The company has come under fire recently from religious groups for its new transgender bathroom policy. The King James Bible has been available for purchase at Target stores ever since the company was founded as Goodfellow Dry Goods back in 1902.

Speaking with CNBC, Cornell cited recent protests from what he calls “religious extremists” as the reason to pull the bible from its shelves. “Target will no longer cater to religious extremists,” said Cornell. “If that means removing the bible from our shelves, then so be it.” Cornell said the big box chain is “sticking to its guns” regarding their bathroom policy, and will be phasing out anything having to do with religion. “We believe that everyone, every team member, every guest, and every community, deserves to be treated equally, regardless of their religious beliefs.”

More…

~~~~~~~~~~~~~~~~~~~~~~~~

This is the video referenced above:

Source: http://ncrenegade.com/editorial/target-to-discontinue-sale-of-holy-bible/",http://beforeitsnews.com/opinion-conservative/2016/05/target-to-discontinue-sale-of-holy-bible-3139296.html,beforeitsnews,Politics,FALSE
,"Hillary Clinton had a third and most-likely fatal heart attack this afternoon after spending the morning being told she’d be getting better. It almost seems fitting that the last thing she hears is a lie about her own well-being.

The Butcher of Benghazi will meet her maker, says Doctor Eugene Icsa of Westchester Memorial Hospital in upstate New York, as the damage to her heart is irreparable at this point:

“Secretary Clinton fought hard but today her fight is over. We predict she’ll be at rest within hours.”

The Clinton family has asked for privacy and wouldn’t answer questions about whether or not they had to decide to “pull the plug” or if they’re simply being told nothing can be done. Chelsea Clinton was seen entering the hospital in tears shortly after noon, according to a new report from LLOD correspondent Skip Tetheluda:

“Chelsea came alone and was obviously distraught. She made no comment to the press but did stop to tell one photographer to have some respect while she ‘visits a great woman for the last time.’ She hasn’t come out and is presumably sitting and waiting to say goodbye. Bill Clinton is sitting on the front porch of the Chappaqua mansion drinking what looks like either tomato juice or a Bloody Mary.”

We’ll update you as soon as we confirm that Clinton has gone on to answer for her crimes with an eternity in Hell.",https://web.archive.org/web/20170731052757/http://politicspaper.com:80/breaking/breaking-hillary-clinton-third-heart-attack-docs-says-wont-survive/,politicspaper,Politics,FALSE
"['Steve S', 'Ed Of Ct.', 'Suzanne Sugrue', 'Ian Monk', 'David Rowley', 'Pumpkin Pie', 'Jeremy Peace', 'Phanumas Bank', 'William Nule Rockhill', 'Dindoo Nuffin']","Pope Francis’s latest controversial statement – that “Jesus is metaphorical, not literal” – has pushed the Catholic Church to the verge of open mutiny, with multiple Vatican cardinals going on the record declaring Pope Francis is the false prophet foretold in holy scripture and prophecy.

The statement made by Pope Francis during Holy Mass in the Vatican on Sunday is the latest in a long line of unconventional statements uttered by the pontiff since he ascended the highest office in the Catholic Church, becoming the first jesuit pope in history.

Since assuming the papacy in 2013, Pope Francis has operated as a mouthpiece of the globalist movement, taking every opportunity to push the New World Order agenda. A short list of Francis’s most controversial statements include:

PREACHING THAT ‘JESUS TURNED INTO SATAN’

Pope Francis went where no other Christian, let alone Pope, had ever gone before, accusing Jesus of “debasing himself up to the point of totally annihilating himself”, and “turning into Satan.”

Hardcore Francis apologists claim the quote was taken out of context, but when the passage is read in it’s entirety it is clear that Francis meant exactly what he said.

Making matters worse, Pope Francis later doubled down, spreading Satanic doctrine further, when he said that Jesus Christ “made himself the devil, the serpent, for us,” according to L’Osservatore Romano, the daily newspaper of the Vatican.

PREACHING THAT RELATIONSHIPS WITH JESUS ARE ‘HARMFUL’

The heretical statement by Pope Francis comes after he broke with centuries of Christian tradition earlier this year, telling a crowd of 33,000 Catholics in Rome that “a personal, direct, immediate relationship with Jesus Christ” must be avoided at all costs.

“Having a personal relationship with Jesus is dangerous and very harmful,” the pope said during the June 25 speech.

The unconventional teachings of Pope Francis have caused Vatican Cardinals and senior priests to turn their back on the pontiff and refuse to pledge obedience to him.

OPENLY CALLING FOR ‘ONE WORLD GOVERNMENT’

In July this year Pope Francis told the Italian newspaper La Repubblica that the United States of America has “a distorted vision of the world” and Americans must be ruled by a world government, as soon as possible, “for their own good.”

The week before he also called for “a one world government” and “political authority”, arguing that the creation of the one world government is needed to combat major issues such as “climate change.”

Speaking with Ecuador’s El Universo newspaper, the Pope said that the United Nations doesnt have enough power and must be granted full governmental control “for the good of humanity.”

France’s Marine Le Pen described Pope Francis as a “globalist bulldog“. Vladimir Putin argued that Francis’s unconventional teachings disqualified the Pope from calling himself a man of God. Francis’s own Cardinals are in open revolt against him, telling anybody who will listen that he was installed in unusual circumstances, with the assistance of globalist powerbrokers like George Soros.

Pope Francis’s anti-Christian teachings are forcing Christians around the world to confront the difficult question – is he the false prophet that will precede the antichrist foretold in holy scripture?",https://web.archive.org/web/20180315235732/http://yournewswire.com/pope-francis-jesus-not-literal/,yournewswire,Religion,FALSE
['D.L. Chandler'],"Instead of a long and drawn-out legal battle, the men at the center of the Philadelphia Starbucks arrest incident have taken an incredibly low settlement from the city with a perk that speaks to their interests. Taking $1 dollar settlements each, Rashon Nelson and Donte Robinson will help spearhead a $200,000 grant program designed to aid young entrepreneurs like themselves.

NBC News reports:

The two black men whose arrest at a Philadelphia Starbucks last month set off a wave of protests against the coffee giant for discrimination have reached a settlement with the city, the mayor’s office said Wednesday.

They will each be paid $1.

In addition, Donte Robinson and Rashon Nelson, both 23, will release the city and employees of all claims in exchange for the creation of a $200,000 fund that, through the help of a nonprofit organization, will assist young entrepreneurs in Philadelphia.

Robinson and Nelson will also serve on a committee to establish and award the grants, which will focus on starting a pilot curriculum for public high school students to attain the skills to become business owners.

Good for Nelson, Robinson, and the city of Philadelphia in turning this into a positive moment.

—

Photo: Getty

Related

Also On The Rickey Smiley Morning Show:",https://web.archive.org/web/20180503143610/https://rickeysmileymorningshow.com/1908839/black-men-arrested-in-philadelphia-starbucks-settle-for-2-million/,rickeysimilymorningshow,Politics,FALSE
['Chriss W. Street'],"UPDATE: Consistent with our subsequent coverage of the California wildfires, this story has been updated to clarify that Jesus Fabian Gonzales is not suspected of the recent Sonoma County fires that killed 40 residents.

The U.S. Immigration & Customs Enforcement Agency (ICE) issued a detainer request on the Sonoma County Jail for Jesus Fabian Gonzalez, who was arrested Sunday on suspicion of arson in Wine Country fires.

Breitbart News reported earlier this week that Sonoma County Sheriffs had arrested Jesus Fabian Gonzalez, 29, at Maxwell Regional Park in Sonoma County after a series of reports of ongoing fires in the region. Mr. Gonzalez was observed around 3:00 p.m. PDT wearing a jacket and walking “out of the creek area and a plume of smoke behind him,” according to the Santa Rosa Press Democrat.

Mr. Gonzalez, who is homeless and reportedly known by law enforcement to have been living under a nearby bridge, claimed he was cold and had lit the fire to stay warm. But it was a balmy 78 degrees when he and the plume of smoke were first observed.

Mr. Gonzalez was booked into the Sonoma County Jail for suspicion of felony arson. His bail was set at a steep $110,000, according to the Sonoma County Sheriff Public Information Officer.

Sargent Spencer Crum told Breitbart that Mr. Gonzalez is also on a U.S. Immigration & Customs Enforcement Agency (ICE) detainer request, despite Sonoma County declaring itself as a “sanctuary county” in May 2014. The county only cooperates with “ICE holds” if the prisoner has been convicted of a felony or any misdemeanor offence that falls within the Trust Act within the last five years. Mr. Gonzalez’s immigration status has not yet been announced.

The American Civil Liberties Union argues detainers are a violation of “unreasonable searches and seizures” under the U.S. Constitution’s Fourth Amendment.

The Sonoma County Sheriff Department’s “1.0 Policy Statement” reads: “No person shall be held solely on the basis of their immigration status.” The policy adds that “the immigration status of a person, and the lack of immigration documentation, should have no bearing on the manner in which Sheriff’s Office personnel execute their duties.”

According to ICE documents, Sonoma County declined 491 detainer requests in 2014 and 2015. During the 2017 period from January 28 through February 3, when President Donald Trump issued his immigration Executive Order 13768 to require all federal, state and local government to comply with ICE detainers, Sonoma County still denied detainers.

Sonoma County fires have killed dozens. 172 are still missing and 102,000 residents have been dislocated — about one-fifth of the entire population. The latest financial losses include 3,819 unincorporated parcels with 100 structures valued at $2,016,962,239, and 2,907 homes and 86 commercial units lost in the city of Santa Rosa valued at $1.18 billion.",http://www.breitbart.com/california/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,Breitbart,Politics,FALSE
