Author,Text,Title,URL,Company,Category,Label
,"WASHINGTON—In a bid to secure support for his nomination as the Democratic Party’s candidate for president, Joe Biden reportedly pledged Sunday to select a woman as vice president since the position doesn’t entail much anyway. “I promise that my vice president will be a woman, since pretty much anyone can do this job, so I figure, hey, might as well pick a lady,” said Biden, adding that he knew from experience in his eight years as U.S. vice president that the position was essentially ceremonial and required no real work, so he had no reservations about handing it to a woman. “You basically just sit on your can all day and maybe show up at a meeting every month or two, so if a woman wants to do that, be my guest. I could see myself selecting [Senator] Amy Klobuchar, [former Georgia State Rep.] Stacey Abrams, or any one of the tens of millions of women perfectly capable of pulling off this no-show gig. I don’t really care what her politics are, and anyway it hardly matters. This works out well, actually, since I can stick a lady in the VP spot and don’t have to put one in an important role on the cabinet.” At press time, Biden was being praised by members of the media and his own party for his commitment to symbolic representation in an office that most people forget about half the time.

Advertisement",Biden Pledges To Select Woman As Vice President Since Position Doesn’t Entail Much Anyway,https://politics.theonion.com/biden-pledges-to-select-woman-as-vice-president-since-p-1842364522,theonion,Politics,FALSE
,"Subscribe To Our Newsletter

Now you can get the top stories from The Onion delivered to your inbox.",‘I Have Coronavirus And I Am Dead’ Says Trump Furthering Confusion Over COVID-19,https://politics.theonion.com/i-have-coronavirus-and-i-am-dead-says-trump-furtherin-1842318188,theonion,Politics,FALSE
,"WASHINGTON—Beating out her rivals with the help of a little-known technicality, Rep. Tulsi Gabbard (D-HI) was named the Democratic Party’s nominee for president Wednesday after the discovery of an obscure rule that grants the nomination to whoever wins 0.7% of the vote in Missouri. “We weren’t expecting this, but after double-checking the party’s rules, it appears we are obliged to select Tulsi Gabbard as our candidate in 2020,” said Democratic National Committee chair Tom Perez, shrugging his shoulders and pointing to a section of a crumbling, yellowed document that contains the esoteric bylaw. “I know a lot of Democrats were probably wondering why she was still in the race. But last night, while cross-referencing an old rule book in preparation for the upcoming debate, we came across this forgotten section of our charter, and, well, it all checks out. I admit it was a pretty cunning strategy on her part. With 100% of precincts now reporting, it appears the congresswoman received exactly 0.7% of votes in the Missouri primary yesterday. And so the time has come for us to put aside our differences and unite behind the next president of the United States, Tulsi Gabbard.” Perez went on to apologize on behalf of his entire party for not awarding the Democratic nomination for president to Sen. Furnifold McLendel Simmons (D-NC) in 1920.

Advertisement",Tulsi Gabbard Named Democratic Nominee After Discovery Of Obscure Rule That Grants Nomination To Whoever Wins 0.7% Of The Vote In Missouri,https://politics.theonion.com/tulsi-gabbard-named-democratic-nominee-after-discovery-1842268489,theonion,Politics,FALSE
,"WASHINGTON—In an official White House press release as the administration’s leading advisor on the viral pandemic, Jared Kushner announced Friday that doctors HATE him after he discovered one weird trick that will CURE coronavirus. “Doctors DON’T want you to know this, but you can DESTROY coronavirus FROM HOME in under 24 hours with this one simple method!!!!” read Kushner’s statement in part, advising all U.S. citizens to visit the website www.KushCures.gov NOW to experience the 100% effective coronavirus CURE discovered by a DAD. “My quick and easy coronavirus solution is helping families everywhere! To learn more, send $100 to the CDC to Find Out Now why Doctors HATE it but Moms LOVE it! Medical experts everywhere were STUMPED by the coronavirus, and they IGNORED me just because I didn’t have a doctor license, but they just don’t want you to know about this AMAZING LIFE HACK that will ensure you never have to visit your hospital for coronavirus—ever again! Plus, not only is my 30-second MIRACLE CURE completely effective at ERADICATING coronavirus, it will also help you Lose Up To 5 Pounds Of Belly Fat—and KEEP IT OFF!!!” Kushner’s official press release reportedly concluded with an exclusive limited-time offer to buy an iPad from the government for under $24.

Advertisement",Kushner Announces Doctors HATE Him After He Discovered One Weird Trick To CURE Coronavirus,https://politics.theonion.com/kushner-announces-doctors-hate-him-after-he-discovered-1842314975,theonion,Politics,FALSE
,"WASHINGTON—Saying he was on top of the situation and the disease would not be spreading any further, President Donald Trump assured the nation Friday that he had called 911 to report the coronavirus pandemic and that help was on its way. “I just got off the phone with 911, they are aware of the situation, and we’ll soon have this thing taken care of,” the commander-in-chief said during a televised address on Covid-19, urging all 330 million Americans not to worry because emergency response personnel should be arriving to assist them any minute now. “I made sure to tell the operator this thing was important, and she agreed with me. So everyone should just relax and wait for them. They can send the fire department and the ambulance or both, and then they can probably give you a flu shot or something like that. It’s good. We’re in good shape.” At press time, White House sources confirmed the president had dialed 911 again to tell them that everything was actually fine and the nation didn’t need their help at all.

Advertisement",Trump Assures Americans He Called 911 To Report Coronavirus Outbreak,https://politics.theonion.com/trump-assures-americans-he-called-911-to-report-coronav-1842314224,theonion,Politics,FALSE
,"PHILADELPHIA—In a largely measured speech calling for party unity after a string of primary victories, former Vice President Joe Biden took to the stage Tuesday night to extend an olive branch to Biden supporters. “I appreciate the enthusiasm and energy of Joe Biden’s voters, and I want any of his supporters who feel lost or counted out to know that there is a place for them with my campaign,” said Biden, stressing that while he and the vice president did not see eye to eye on every issue, they both shared values that represented a bold new vision for the American people. “Of course, I might have occasionally clashed with Joe Biden in the more strained moments of recent debates, but we also worked together for many years in the Senate. At the end of the day, whether you’re a Biden supporter or a Biden supporter, we have the same goal, which is to get Trump out of the White House and replace him with Joe Biden.” At press time, pundits launched into fevered speculations that the candidate’s speech could contain hints Joe Biden was mulling the choice to appoint Joe Biden as vice president.

Advertisement",Biden Extends Olive Branch To Biden Supporters,https://politics.theonion.com/biden-extends-olive-branch-to-biden-supporters-1842269384,theonion,Politics,FALSE
,"KANSAS CITY, MO—Determined to support all Democratic candidates without exception, local man Todd McMaster reportedly chanted “Vote blue no matter who, vote blue no matter who” Tuesday as he filled in every bubble on his party’s presidential primary ballot. “Let’s see, there’s one for Bernie, one for Biden, one for Klobuchar, one for Buttigieg—and I’d better not forget Warren or Bloomberg or Deval Patrick or Tulsi, ’cause they’re blue, too,” said McMaster, who frantically colored in the circle beside the first name on his form after noticing the candidate was a Democrat, and then did the same for the other 21 Democrats listed. “I’ve never heard of Robby Wells or Rocky de la Fuente III, but if they’re Democrats, they’re getting a vote. Almost got ’em all! Wait, hold on—I don’t see John Delaney or Kirsten Gillibrand on here. Am I supposed to write them in?” At press time, sources confirmed that McMaster had left all the down-ballot races blank.

Advertisement","‘Vote Blue No Matter Who, Vote Blue No Matter Who,’ Chants Man Filling In Every Bubble On Democratic Primary Ballot",https://politics.theonion.com/vote-blue-no-matter-who-vote-blue-no-matter-who-cha-1842237379,theonion,Politics,FALSE
,"JOHANNESBURG—Striding across the cement floor of his sparse confines, Joe Biden gave a speech Monday from the South African jail cell where he is still imprisoned for supporting Nelson Mandela. “I have sacrificed a great deal—my freedom, my livelihood, and my safety—in my fight against apartheid, but it has all been worth it to help my great friend Nelson Mandela,” said the former Vice President, his gaunt frame pacing the 8-foot-by-7-foot cell that he has called home since he was arrested for visiting the revolutionary South African civil rights leader in the 1970s. “Despite the fact that I have been unjustly incarcerated here in Africa for decades, I am dedicated to becoming the 46th president of the United States. The fact that I have already been able to serve as your VP and as a senator before that is a testament to what I can accomplish. No walls can contain my mind, and I promise that once I am released, we’re going to the DNC and then on to the White House.” At press time, Biden assured reporters that even if Nelson Mandela does not become his running mate, he does expect an endorsement from the anti-apartheid hero to be forthcoming.

Advertisement",Biden Gives Speech From South African Jail Cell Where He Still Imprisoned For Supporting Nelson Mandela,https://politics.theonion.com/biden-gives-speech-from-south-african-jail-cell-where-h-1842213538,theonion,Politics,FALSE
,"DETROIT—Opening up about the lifelong struggle that has been a source of embarrassment and frustration, Democratic presidential candidate Joe Biden defended Thursday his record of inappropriately touching women as a symptom of his lifelong struggle with stuttering hands. “Since my childhood, I’ve been burdened with this debilitating problem—anytime I wrap my hands around a woman’s waist or give them a shoulder rub, it’s because of a nervous medical tick,” said Biden, choking up while recounting how much his uncontrollable caressing of women’s backs and touching of their faces have hurt him over the years. “I was often too ashamed in the past to speak about it, but I know there’s some teenager out there grabbing a classmate’s ass who needs to know they are not alone. I’ve dealt with the misfortune of seeing my hands reach out and pull a woman uncomfortably close to me and the embarrassment of them mocking me and saying ‘Stop doing that.’ I’ve worked to get it under control, and I want my supporters to be confident that I will only occasionally be touching women over the course of the presidential campaign.” At press time, Biden was attributing his support of the Iraq war and opposition to school busing as the result of a challenging brain stutter.

Advertisement",Biden Defends Past Inappropriate Touching Of Women As Symptom Of Stuttering Hands,https://politics.theonion.com/biden-defends-past-inappropriate-touching-of-women-as-s-1842129609,theonion,Politics,FALSE
,"WASHINGTON—Saying she continually walks by his office while loosening the frilly beaded collar she wears over her judicial robes, sources confirmed Thursday that Associate Justice Ruth Bader Ginsburg has been flirting with the Supreme Court’s 67-year-old intern again. “She’s completely shameless—every time there’s a hot new guy in his late 60s or early 70s, she’s all over him,” law clerk Angela Young told reporters, adding that when Ginsburg was first introduced to Supreme Court intern David Kearney, she had smiled coyly at the gray-haired man and said in a husky voice, “You can just call me Ruth, sweetheart.” “The other day, I saw her sit on his desk and invite him to stop by her chambers sometime if he ever needs someone to show him the ropes. It’s the same thing every term. She just can’t help herself when there’s a 67-year-old piece of ass around.” At press time, Ginsburg had reportedly stopped Kearney as he was leaving for the day and asked if he wouldn’t mind staying late to help her with her briefs.

Advertisement",Ruth Bader Ginsburg Flirting With 67-Year-Old Intern Again,https://politics.theonion.com/ruth-bader-ginsburg-flirting-with-67-year-old-intern-ag-1842129352,theonion,Politics,FALSE
